"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2017","Violence-Related Firearm","2001","813","5273477","15.42","15.3668634758436"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2017","Violence-Related Firearm","2001","390","2691571","14.49","14.4592949344476"
"Both Sexes","All Races","California","Both","All Ages","1999","2017","Violence-Related Firearm","2001","3097","34479458","8.98","9.01720061933471"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2017","Violence-Related Firearm","2001","495","4425687","11.18","11.3391763142743"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2017","Violence-Related Firearm","2001","187","3432835","5.45","5.51974669601232"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","2017","Violence-Related Firearm","2001","73","795699","9.17","9.09811749710978"
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","2017","Violence-Related Firearm","2001","165","574504","28.72","24.7653354931632"
"Both Sexes","All Races","Florida","Both","All Ages","1999","2017","Violence-Related Firearm","2001","1779","16356966","10.88","10.4463796090401"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","2017","Violence-Related Firearm","2001","1089","8377038","13","13.0159528266083"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","2017","Violence-Related Firearm","2001","43","1225948","3.51","3.43297191607955"
"Both Sexes","All Races","Idaho","Both","All Ages","1999","2017","Violence-Related Firearm","2001","165","1319962","12.5","12.7564683863822"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","2017","Violence-Related Firearm","2001","1261","12488445","10.1","9.98072876980748"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2017","Violence-Related Firearm","2001","704","6127760","11.49","11.4164673997556"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2017","Violence-Related Firearm","2001","184","2931997","6.28","6.12886994715506"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2017","Violence-Related Firearm","2001","253","2702162","9.36","9.41656496353764"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2017","Violence-Related Firearm","2001","473","4068132","11.63","11.4521667362887"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2017","Violence-Related Firearm","2001","754","4477875","16.84","16.8516456649335"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2017","Violence-Related Firearm","2001","94","1285692","7.31","6.98760521067698"
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2017","Violence-Related Firearm","2001","592","5374691","11.01","11.1842922807174"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2017","Violence-Related Firearm","2001","187","6397634","2.92","2.89021710811245"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2017","Violence-Related Firearm","2001","1055","9991120","10.56","10.6127758243196"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2017","Violence-Related Firearm","2001","314","4982796","6.3","6.28828951593068"
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","2017","Violence-Related Firearm","2001","468","2852994","16.4","16.4660656802754"
"Both Sexes","All Races","Missouri","Both","All Ages","1999","2017","Violence-Related Firearm","2001","703","5641142","12.46","12.4264339608263"
"Both Sexes","All Races","Montana","Both","All Ages","1999","2017","Violence-Related Firearm","2001","154","906961","16.98","17.0723740723262"
"Both Sexes","All Races","Nebraska","Both","All Ages","1999","2017","Violence-Related Firearm","2001","131","1719836","7.62","7.58590673282891"
"Both Sexes","All Races","Nevada","Both","All Ages","1999","2017","Violence-Related Firearm","2001","339","2098399","16.16","16.2543782907606"
"Both Sexes","All Races","New Hampshire","Both","All Ages","1999","2017","Violence-Related Firearm","2001","88","1255517","7.01","6.98219231674136"
"Both Sexes","All Races","New Jersey","Both","All Ages","1999","2017","Violence-Related Firearm","2001","357","8492671","4.2","4.28710529334581"
"Both Sexes","All Races","New Mexico","Both","All Ages","1999","2017","Violence-Related Firearm","2001","264","1831690","14.41","14.7043546221654"
